,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,predicted
412,27710262,Okpo-eup,옥포읍,81.88984986654873
413,27710265,Hyeonpung-eup,현풍읍,45.02068310005983
414,27710310,Gachang-myeon,가창면,86.19055520973376
415,27710330,Habin-myeon,하빈면,74.03021279778463
416,27710380,Guji-myeon,구지면,34.28507392088615
417,27720250,Gunwi-eup,군위읍,84.96226692737905
418,27720310,Sobo-myeon,소보면,86.30918831022588
419,27720320,Hyoryeong-myeon,효령면,74.3073331401914
420,27720330,Bugye-myeon,부계면,88.18420209015358
421,27720340,Ubo-myeon,우보면,75.70681137361824
422,27720350,Uiheung-myeon,의흥면,76.53869317476514
423,27720360,Sanseong-myeon,산성면,61.74563719577847
424,27720370,Samgugyusa-myeon,삼국유사면,87.82907617310627
425,28110103,Jungang-dong 3(sam)-ga,중앙동3가,16.702511648774845
426,28110109,Gwan-dong 1(il)-ga,관동1가,16.681482809648536
427,28110110,Gwan-dong 2(i)-ga,관동2가,17.63969099381349
428,28110111,Gwan-dong 3(sam)-ga,관동3가,16.65813096462613
429,28110119,Songhak-dong 1(il)-ga,송학동1가,17.147224134154573
430,28110120,Songhak-dong 2(i)-ga,송학동2가,17.25084699132822
431,28110121,Songhak-dong 3(sam)-ga,송학동3가,17.33569668811722
432,28110133,Nae-dong,내동,16.34662731726072
433,28110137,Jeon-dong,전동,16.384955229258562
434,28110138,Bukseong-dong 1(il)-ga,북성동1가,17.72130228031744
435,28110145,Jungsan-dong,중산동,23.02052882562755
436,28110146,Unnam-dong,운남동,28.850494007460053
437,28110147,Unseo-dong,운서동,22.802378116256556
438,28110148,Unbuk-dong,운북동,52.97829399241366
439,28110149,Eurwang-dong,을왕동,20.22477971748419
440,28110150,Nambuk-dong,남북동,26.584860235775153
441,28110151,Deokgyo-dong,덕교동,30.049590215293552
442,28110152,Muui-dong,무의동,67.73388956299357
443,28177102,Yonghyeon-dong,용현동,15.289991375611411
444,28177103,Hagik-dong,학익동,16.581987824208444
445,28177104,Dohwa-dong,도화동,15.667219874062896
